# Language File – MOD_SEARCH";"
# SPANISH";"
# ----- search module -----
"Digitalus CMS"
"Site Search";
# admin section -- Index --
"Search";"Buscar"
"The search index was rebuilt successfully!";"El índice del buscador ha sido rearmado exitósamente!"
"Rebuild search";"Rearmar buscador"
"Search Module";"Módulo de búsqueda"
"The search module utilizes the Lucene search engine to build, manage and query search indexes on your site.";"El módulo de busqueda utiliza el Lucene search Engine."
"Rebuilding the search index is very processor intensive, so Digitalus does not rebuild it each time you update your site. When you update your site open this module, and click the Rebuild Search Index link.";"Rearmar el index puede ser una tarea exhaustiva para el procesador por esto es que no se hace de manera automatica, eventualmente a medida que modifica el sitio puede realizarla."
"The search form does not have any user defined settings.";"El formulario de búsqueda no tiene ninguna configuración definida por el usuario."
"Search Site";"Buscar en el sitio"
"Keywords";"Palabras clave"
"Your search for";"Su búsqueda de"
"returned";"devuelto"
"results.";"resultados."
"did not return any results.";"no devolvió ningún resultado"
"Please provide a keyword to search for!";"Por favor escriba una palabra clave para buscar!"
"For the search module to work properly, the index directory must be writeable! Please check the permissions of this directory:";"Para que el modulo de busqueda funcione como se espera es necesario que tenga permisos de escritura el directorio el directorio donde se indexa que es"
# END
